,Emoji,Unicode,Hex
1521,👩🏽‍🤝‍👩🏼,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc'
1522,👭🏽,b'\\U0001f46d\\U0001f3fd',b'\xf0\x9f\x91\xad\xf0\x9f\x8f\xbd'
1523,👩🏽‍🤝‍👩🏾,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fe',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe'
1524,👩🏽‍🤝‍👩🏿,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3ff',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf'
1525,👩🏾‍🤝‍👩🏻,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb'
1526,👩🏾‍🤝‍👩🏼,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc'
1527,👩🏾‍🤝‍👩🏽,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd'
1528,👭🏾,b'\\U0001f46d\\U0001f3fe',b'\xf0\x9f\x91\xad\xf0\x9f\x8f\xbe'
1529,👩🏾‍🤝‍👩🏿,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3ff',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf'
1530,👩🏿‍🤝‍👩🏻,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb'
1531,👩🏿‍🤝‍👩🏼,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc'
1532,👩🏿‍🤝‍👩🏽,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd'
1533,👩🏿‍🤝‍👩🏾,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f469\\U0001f3fe',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe'
1534,👭🏿,b'\\U0001f46d\\U0001f3ff',b'\xf0\x9f\x91\xad\xf0\x9f\x8f\xbf'
1535,👫🏻,b'\\U0001f46b\\U0001f3fb',b'\xf0\x9f\x91\xab\xf0\x9f\x8f\xbb'
1536,👩🏻‍🤝‍👨🏼,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1537,👩🏻‍🤝‍👨🏽,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1538,👩🏻‍🤝‍👨🏾,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1539,👩🏻‍🤝‍👨🏿,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1540,👩🏼‍🤝‍👨🏻,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1541,👫🏼,b'\\U0001f46b\\U0001f3fc',b'\xf0\x9f\x91\xab\xf0\x9f\x8f\xbc'
1542,👩🏼‍🤝‍👨🏽,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1543,👩🏼‍🤝‍👨🏾,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1544,👩🏼‍🤝‍👨🏿,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1545,👩🏽‍🤝‍👨🏻,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1546,👩🏽‍🤝‍👨🏼,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1547,👫🏽,b'\\U0001f46b\\U0001f3fd',b'\xf0\x9f\x91\xab\xf0\x9f\x8f\xbd'
1548,👩🏽‍🤝‍👨🏾,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1549,👩🏽‍🤝‍👨🏿,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1550,👩🏾‍🤝‍👨🏻,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1551,👩🏾‍🤝‍👨🏼,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1552,👩🏾‍🤝‍👨🏽,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1553,👫🏾,b'\\U0001f46b\\U0001f3fe',b'\xf0\x9f\x91\xab\xf0\x9f\x8f\xbe'
1554,👩🏾‍🤝‍👨🏿,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1555,👩🏿‍🤝‍👨🏻,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1556,👩🏿‍🤝‍👨🏼,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1557,👩🏿‍🤝‍👨🏽,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1558,👩🏿‍🤝‍👨🏾,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1559,👫🏿,b'\\U0001f46b\\U0001f3ff',b'\xf0\x9f\x91\xab\xf0\x9f\x8f\xbf'
1560,👬🏻,b'\\U0001f46c\\U0001f3fb',b'\xf0\x9f\x91\xac\xf0\x9f\x8f\xbb'
1561,👨🏻‍🤝‍👨🏼,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1562,👨🏻‍🤝‍👨🏽,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1563,👨🏻‍🤝‍👨🏾,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1564,👨🏻‍🤝‍👨🏿,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1565,👨🏼‍🤝‍👨🏻,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1566,👬🏼,b'\\U0001f46c\\U0001f3fc',b'\xf0\x9f\x91\xac\xf0\x9f\x8f\xbc'
1567,👨🏼‍🤝‍👨🏽,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1568,👨🏼‍🤝‍👨🏾,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1569,👨🏼‍🤝‍👨🏿,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1570,👨🏽‍🤝‍👨🏻,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1571,👨🏽‍🤝‍👨🏼,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1572,👬🏽,b'\\U0001f46c\\U0001f3fd',b'\xf0\x9f\x91\xac\xf0\x9f\x8f\xbd'
1573,👨🏽‍🤝‍👨🏾,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1574,👨🏽‍🤝‍👨🏿,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1575,👨🏾‍🤝‍👨🏻,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1576,👨🏾‍🤝‍👨🏼,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1577,👨🏾‍🤝‍👨🏽,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1578,👬🏾,b'\\U0001f46c\\U0001f3fe',b'\xf0\x9f\x91\xac\xf0\x9f\x8f\xbe'
1579,👨🏾‍🤝‍👨🏿,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3ff',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf'
1580,👨🏿‍🤝‍👨🏻,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'
1581,👨🏿‍🤝‍👨🏼,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc'
1582,👨🏿‍🤝‍👨🏽,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd'
1583,👨🏿‍🤝‍👨🏾,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f91d\\u200d\\U0001f468\\U0001f3fe',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa4\x9d\xe2\x80\x8d\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe'
1584,👬🏿,b'\\U0001f46c\\U0001f3ff',b'\xf0\x9f\x91\xac\xf0\x9f\x8f\xbf'
1585,💏🏻,b'\\U0001f48f\\U0001f3fb',b'\xf0\x9f\x92\x8f\xf0\x9f\x8f\xbb'
1586,💏🏼,b'\\U0001f48f\\U0001f3fc',b'\xf0\x9f\x92\x8f\xf0\x9f\x8f\xbc'
1587,💏🏽,b'\\U0001f48f\\U0001f3fd',b'\xf0\x9f\x92\x8f\xf0\x9f\x8f\xbd'
1588,💏🏾,b'\\U0001f48f\\U0001f3fe',b'\xf0\x9f\x92\x8f\xf0\x9f\x8f\xbe'
1589,💏🏿,b'\\U0001f48f\\U0001f3ff',b'\xf0\x9f\x92\x8f\xf0\x9f\x8f\xbf'
1590,🧑🏻‍❤️‍💋‍🧑🏼,b'\\U0001f9d1\\U0001f3fb\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc'
1591,🧑🏻‍❤️‍💋‍🧑🏽,b'\\U0001f9d1\\U0001f3fb\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd'
1592,🧑🏻‍❤️‍💋‍🧑🏾,b'\\U0001f9d1\\U0001f3fb\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fe',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe'
1593,🧑🏻‍❤️‍💋‍🧑🏿,b'\\U0001f9d1\\U0001f3fb\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3ff',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf'
1594,🧑🏼‍❤️‍💋‍🧑🏻,b'\\U0001f9d1\\U0001f3fc\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb'
1595,🧑🏼‍❤️‍💋‍🧑🏽,b'\\U0001f9d1\\U0001f3fc\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd'
1596,🧑🏼‍❤️‍💋‍🧑🏾,b'\\U0001f9d1\\U0001f3fc\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fe',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe'
1597,🧑🏼‍❤️‍💋‍🧑🏿,b'\\U0001f9d1\\U0001f3fc\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3ff',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf'
1598,🧑🏽‍❤️‍💋‍🧑🏻,b'\\U0001f9d1\\U0001f3fd\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb'
1599,🧑🏽‍❤️‍💋‍🧑🏼,b'\\U0001f9d1\\U0001f3fd\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc'
1600,🧑🏽‍❤️‍💋‍🧑🏾,b'\\U0001f9d1\\U0001f3fd\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fe',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe'
1601,🧑🏽‍❤️‍💋‍🧑🏿,b'\\U0001f9d1\\U0001f3fd\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3ff',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf'
1602,🧑🏾‍❤️‍💋‍🧑🏻,b'\\U0001f9d1\\U0001f3fe\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb'
1603,🧑🏾‍❤️‍💋‍🧑🏼,b'\\U0001f9d1\\U0001f3fe\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc'
1604,🧑🏾‍❤️‍💋‍🧑🏽,b'\\U0001f9d1\\U0001f3fe\\u200d\\u2764\\ufe0f\\u200d\\U0001f48b\\u200d\\U0001f9d1\\U0001f3fd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd'
