,Emoji,Unicode,Hex
114,👆🏿,b'\\U0001f446\\U0001f3ff',b'\xf0\x9f\x91\x86\xf0\x9f\x8f\xbf'
115,🖕🏻,b'\\U0001f595\\U0001f3fb',b'\xf0\x9f\x96\x95\xf0\x9f\x8f\xbb'
116,🖕🏼,b'\\U0001f595\\U0001f3fc',b'\xf0\x9f\x96\x95\xf0\x9f\x8f\xbc'
117,🖕🏽,b'\\U0001f595\\U0001f3fd',b'\xf0\x9f\x96\x95\xf0\x9f\x8f\xbd'
118,🖕🏾,b'\\U0001f595\\U0001f3fe',b'\xf0\x9f\x96\x95\xf0\x9f\x8f\xbe'
119,🖕🏿,b'\\U0001f595\\U0001f3ff',b'\xf0\x9f\x96\x95\xf0\x9f\x8f\xbf'
120,👇🏻,b'\\U0001f447\\U0001f3fb',b'\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb'
121,👇🏼,b'\\U0001f447\\U0001f3fc',b'\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc'
122,👇🏽,b'\\U0001f447\\U0001f3fd',b'\xf0\x9f\x91\x87\xf0\x9f\x8f\xbd'
123,👇🏾,b'\\U0001f447\\U0001f3fe',b'\xf0\x9f\x91\x87\xf0\x9f\x8f\xbe'
124,👇🏿,b'\\U0001f447\\U0001f3ff',b'\xf0\x9f\x91\x87\xf0\x9f\x8f\xbf'
125,☝🏻,b'\\u261d\\U0001f3fb',b'\xe2\x98\x9d\xf0\x9f\x8f\xbb'
126,☝🏼,b'\\u261d\\U0001f3fc',b'\xe2\x98\x9d\xf0\x9f\x8f\xbc'
127,☝🏽,b'\\u261d\\U0001f3fd',b'\xe2\x98\x9d\xf0\x9f\x8f\xbd'
128,☝🏾,b'\\u261d\\U0001f3fe',b'\xe2\x98\x9d\xf0\x9f\x8f\xbe'
129,☝🏿,b'\\u261d\\U0001f3ff',b'\xe2\x98\x9d\xf0\x9f\x8f\xbf'
130,🫵🏻,b'\\U0001faf5\\U0001f3fb',b'\xf0\x9f\xab\xb5\xf0\x9f\x8f\xbb'
131,🫵🏼,b'\\U0001faf5\\U0001f3fc',b'\xf0\x9f\xab\xb5\xf0\x9f\x8f\xbc'
132,🫵🏽,b'\\U0001faf5\\U0001f3fd',b'\xf0\x9f\xab\xb5\xf0\x9f\x8f\xbd'
133,🫵🏾,b'\\U0001faf5\\U0001f3fe',b'\xf0\x9f\xab\xb5\xf0\x9f\x8f\xbe'
134,🫵🏿,b'\\U0001faf5\\U0001f3ff',b'\xf0\x9f\xab\xb5\xf0\x9f\x8f\xbf'
135,👍🏻,b'\\U0001f44d\\U0001f3fb',b'\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
136,👍🏼,b'\\U0001f44d\\U0001f3fc',b'\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
137,👍🏽,b'\\U0001f44d\\U0001f3fd',b'\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd'
138,👍🏾,b'\\U0001f44d\\U0001f3fe',b'\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbe'
139,👍🏿,b'\\U0001f44d\\U0001f3ff',b'\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbf'
140,👎🏻,b'\\U0001f44e\\U0001f3fb',b'\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb'
141,👎🏼,b'\\U0001f44e\\U0001f3fc',b'\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc'
